Parent,Subcomponent,Material,Mesh,BC,,Comment
XENT-TPC-C_Warm,XENT-TPC-C2_Warm,PTFE,1,NA,,PMT PTFE Below Screen
XENT-TPC-C_Warm,XENT-TPC-B3_Warm***,PTFE,0,NA,,Connector Pin from mid to bottom PTFE
XENT-TPC-C_Warm,XENT-TPC-B4_Warm***,PTFE,0,NA,,Connector Pin from top to mid PTFE
XENT-TPC-C_Warm,XENT-TPC-B5_Warm***,PTFE,0,NA,,Connector Pin washer PTFE
XENT-TPC-C_Warm,XENT-TPC-B7_Warm***,PTFE,0,NA,,Top PTFE
XENT-TPC-C_Warm,XENT-TPC-B8_Warm,PTFE,0,NA,,Top PTFE
XENT-TPC-C_Warm,XENT-TPC-B9_Warm,PTFE,0,NA,,Top PTFE
XENT-TPC-C_Warm,XENT-TPC-B15_Warm,PTFE,0,NA,,Top PTFE
XENT-TPC-C_Warm,XENT-TPC-B14_Warm,PTFE,0,NA,,Top PTFE
XENT-TPC-C_Warm,XENT-TPC-B13_Warm,PTFE,0,NA,,Top PTFE
XENT-TPC-C_Warm,XENT-TPC-B10_Warm,PTFE,0,NA,,Some Outer Threading
XENT-TPC-C_Warm,XENT-TPC-B01*_Warm,PTFE,0,NA,,Some Outer Threading
XENT-TPC-C_Warm,XENT-TPC-B11_Warm_90928A319,PTFE,0,NA,,Central Screw
XENT-TPC-C_Warm,R11410-**,PMT,0,NA,,PMT
XENT-TPC-C_Warm,R11410-***,PMT,0,NA,,PMT
XENT-TPC_20250428,XENT-TPC-D_New_Anode,NA,0,NA,,
XENT-TPC-D_New_Anode,XENT-TPC-DL_Warm,Copper,1,Gate,,Gate
XENT-TPC-D_New_Anode,XENT-TPC-D1_Warm***,PTFE,1,NA,,thin PTFE Pannel bell insulator
XENT-TPC-D_New_Anode,XENT-TPC-D2_Warm,PTFE,1,NA,,thick PTFE Pannel bell insulator
XENT-TPC-D_New_Anode,XENT-TPC-D3_Warm***,PTFE,1,NA,,thick PTFE Pannel bell insulator
XENT-TPC-D_New_Anode,XENT-TPC-HP_Warm***,PTFE,0,NA,,Bell Connector PTFE
XENT-TPC-D_New_Anode,XENT-TPC-DN,Copper,1,Anode,,Anode
XENT-TPC-D_New_Anode,XENT-TPC-D30_Warm***,PTFE,1,NA,,Gate Insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D31_Warm***,PTFE,1,NA,,Gate Insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-D32_Warm***,PTFE,1,NA,,Gate Insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-D33_Warm***,PTFE,1,NA,,Gate Insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-D34_Warm***,PTFE,1,NA,,Gate Insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-D35_Warm***,PTFE,1,NA,,Gate Insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-D36_Warm***,PTFE,1,NA,,Gate Insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D37_Warm***,PTFE,1,NA,,Gate Insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D38_Warm***,PTFE,1,NA,,Gate Insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D39_Warm***,PTFE,1,NA,,Gate Insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D40_Warm***,PTFE,1,NA,,Gate Insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D41_Warm***,PTFE,1,NA,,Gate Insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D42_Warm***,PTFE,1,NA,,Gate Insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D43_Warm***,PTFE,1,NA,,Gate Insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D44_Warm***,PTFE,1,NA,,Gate Insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D45_Warm***,PTFE,1,NA,,Gate Insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-DQ_New_Anode***,,0,NA,,Screws holding the thing together
XENT-TPC-D_New_Anode,XENT-TPC-D46_Warm***,PTFE,1,NA,,thick PTFE Pannel bell insulator
XENT-TPC-D_New_Anode,XENT-TPC-D47_Warm***,PTFE,1,NA,,thick PTFE Pannel bell insulator
XENT-TPC-D_New_Anode,XENT-TPC-D48_Warm***,PTFE,1,NA,,thin PTFE Pannel bell insulator
XENT-TPC-D_New_Anode,XENT-TPC-D49_Warm***,PTFE,1,NA,,thick PTFE Pannel bell insulator
XENT-TPC-D_New_Anode,XENT-TPC-D50_Warm***,PTFE,1,NA,,thin PTFE Pannel bell insulator
XENT-TPC-D_New_Anode,XENT-TPC-D51_Warm***,PTFE,1,NA,,thin PTFE Pannel bell insulator
XENT-TPC-D_New_Anode,XENT-TPC-D52_Warm***,PTFE,1,NA,,thin PTFE Pannel bell insulator
XENT-TPC-D_New_Anode,XENT-TPC-D53_Warm***,PTFE,1,NA,,Anode insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-D54_Warm***,PTFE,1,NA,,Anode insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D55_Warm***,PTFE,1,NA,,Anode insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D56_Warm***,PTFE,1,NA,,Anode insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-D57_Warm***,PTFE,1,NA,,Anode insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D58_Warm***,PTFE,1,NA,,Anode insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D59_Warm***,PTFE,1,NA,,Anode insulator thin
XENT-TPC-D_New_Anode,XENT-TPC-D60_Warm,PTFE,1,NA,,Anode insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-D61_Warm,PTFE,1,NA,,Anode insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-D62_Warm,PTFE,1,NA,,Anode insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-D63_Warm,PTFE,1,NA,,Anode insulator thick
XENT-TPC-D_New_Anode,XENT-TPC-D28_Warm,,0,NA,,Top of some (Copper?) pin
XENT-TPC-D_New_Anode,XENT-TPC-D25_Warm,,0,NA,,PTFE around some (Copper?) pin
XENT-TPC-D_New_Anode,XENT-TPC-D18_Warm,,0,NA,,PTFE around some (Copper?) pin
XENT-TPC-D_New_Anode,XENT-TPC-D26_Warm,,0,NA,,Bottom of some (Copper?) pin
XENT-TPC-D_New_Anode,XENT-TPC-D24_Warm,,0,NA,,some (Copper?) pin
XENT-TPC-D_New_Anode,XENT-TPC-D28_Warm,,0,NA,,top of some (Copper?) pin
XENT-TPC-D_New_Anode,XENT-TPC-DM_Warm,Copper,1,TopScreen,,
XENT-TPC-D_New_Anode,XENT-TPC-DQ_New_Anode***,PTFE,0,NA,,Pins to hold assembly together
XENT-TPC_20250428,XENT-TPC-E_Plan-B Warm,NA,0,NA,,Cathode stack
XENT-TPC-E_Plan-B Warm,XENT-TPC-EN_Warm,Copper,1,BottomScreening,,Bottom Screening electrode
XENT-TPC-E_Plan-B Warm,XENT-TPC-EA_Warm***,PTFE,1,NA,,Thin PTFE pannel screen to cathode
XENT-TPC-E_Plan-B Warm,XENT-TPC-EB_Warm***,PTFE,1,NA,,Thick PTFE pannel screen to cathode
XENT-TPC-E_Plan-B Warm,XENT-TPC-E13_Warm***,PTFE,1,NA,,Thick PTFE pannel screen to cathode
XENT-TPC-E_Plan-B Warm,XENT-TPC-E14_Warm***,PTFE,1,NA,,Something connecting to previous Thick PTFE pannel
XENT-TPC-E_Plan-B Warm,XENT-TPC-E5_Warm***,PTFE,1,NA,,Thin PTFE pannel screen to cathode
XENT-TPC-E_Plan-B Warm,XENT-TPC-E6_Warm***,Copper,0,NA,,Copper? L shaped part below screening
XENT-TPC-E_Plan-B Warm,XENT-TPC-EA_Warm***,PTFE,1,NA,,Thin PTFE pannel screen to cathode
XENT-TPC-E_Plan-B Warm,XENT-TPC-E7_Warm***,PTFE,1,NA,,PTFE? Ring around Lower stack outside
XENT-TPC-E_Plan-B Warm,XENT-TPC-E8_Warm,PTFE,1,NA,,PTFE? Ring around Lower stack outside
XENT-TPC-E_Plan-B Warm,XENT-TPC-E20_Warm***,PTFE,1,NA,,Cathode Insulating Frame  Thick
XENT-TPC-E_Plan-B Warm,XENT-TPC-E21_Warm,PTFE,1,NA,,Cathode Insulating Frame Thick
XENT-TPC-E_Plan-B Warm,XENT-TPC-E22_Warm,PTFE,1,NA,,Cathode Insulating Frame Thick
XENT-TPC-E_Plan-B Warm,XENT-TPC-E23_Warm,PTFE,1,NA,,Cathode Insulating Frame Thick
XENT-TPC-E_Plan-B Warm,XENT-TPC-E24_Warm,PTFE,1,NA,,Cathode Insulating Frame outer holder Thick
XENT-TPC-E_Plan-B Warm,XENT-TPC-E25_Cold LXe***,PTFE,1,NA,,Cathode Insulating frame outer attachment piece
XENT-TPC-E_Plan-B Warm,XENT-TPC-EO_Plan-B Cathode,Copper,1,Cathode,,Cathode
XENT-TPC_20250428,XENT-TPC-F055,NA,0,NA,,Bell
XENT-TPC-F055,XENT-TPC-F,Copper,1,Bell,,Top Plate
XENT-TPC-F055,XENT-TPC-F001,Copper,1,Bell,,Outer Ring Upper
XENT-TPC-F055,XENT-TPC-F002,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F003,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F004,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F005,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F006,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F007,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F008,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F009,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F010,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F011,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F012,Copper,1,Bell,,Outer Ring Lower
XENT-TPC-F055,XENT-TPC-F013,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F014,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F015,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F016,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F017,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F018,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F019,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F020,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F021,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F022,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F023,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F024,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F025,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F026,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F027,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F028,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F029,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F030,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F031,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F032,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F033,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F034,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F035,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F036,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F037,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F038,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F039,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F040,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F051,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F052,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F053,Copper,0,NA,,Feedthrough
XENT-TPC-F055,XENT-TPC-F054,Copper,0,NA,,Feedthrough
XENT-TPC_20250428,XENT-TPC-G_Warm,NA,0,NA,,"Outer Cryostat Wont need this either, will slice once and select inner bounds to make the pts list"
XENT-TPC_20250428,XENT-TPC-H_Warm,NA,0,NA,,piping not doing this one
